Time_Period,Reservations,Cost
1/1/2014,276,44038.24
2/1/2014,143,23930.45
3/1/2014,227,33261.7
4/1/2014,334,44326.36
5/1/2014,387,34999.67
6/1/2014,195,51546.41
7/1/2014,248,46004.16
8/1/2014,270,45147.12
9/1/2014,237,61914.14
10/1/2014,277,77243.33
11/1/2014,285,77458.52
12/1/2014,230,55007.1
1/1/2015,252,64742.11
2/1/2015,154,45173.77
3/1/2015,189,59284.05
4/1/2015,426,95913.62
5/1/2015,571,133865.8
6/1/2015,253,92554.23
7/1/2015,353,92373.4
8/1/2015,427,103687.22
9/1/2015,289,64798.55
10/1/2015,411,92188.01
11/1/2015,345,108509.4
12/1/2015,296,86545.97
1/1/2016,326,90313.8
2/1/2016,182,86506.91
3/1/2016,125,83566.48
4/1/2016,505,108179.62
5/1/2016,640,192555.5
6/1/2016,296,100552.75
7/1/2016,302,95634.96
